Date,Open,High,Low,Close,    Volume
12/20/19,1162.18,1162.18,1141.5,1146.3,2356384
12/23/19,1139,1162.5,1136,1149.3,2591918
12/24/19,1153,1155,1145,1148,1182310
12/25/19,1143,1143,1130.01,1133.7,2430597
12/26/19,1132,1141.98,1119.99,1135.1,2287727
12/27/19,1150,1172,1150,1163,4706628
12/30/19,1170.2,1195.5,1170.2,1185.8,4076066
12/31/19,1183,1188,1176.51,1183,2258881
1/2/20,1128,1145.06,1116,1130,14809916
1/3/20,1117,1117,1076.9,1078.56,13031878
1/6/20,1070.86,1092.9,1067.3,1077.99,6341478
1/7/20,1077.5,1099,1076.4,1094.53,4785359
1/8/20,1085.05,1095.5,1082.58,1088.14,2500825
1/9/20,1094,1105.39,1090,1102.7,3740587
1/10/20,1109,1115.99,1102.5,1112.5,3597587
1/13/20,1112.5,1129.2,1112,1124.27,3851575
1/14/20,1124.2,1124.89,1103,1107.4,3514465
1/15/20,1109.01,1121.6,1105,1112.13,2602911
1/16/20,1118.87,1118.87,1102.58,1107,2319165
1/17/20,1110,1112.78,1101.01,1107.5,2347275
1/20/20,1111.86,1111.86,1082,1091,3539130
1/21/20,1081,1087,1072.3,1075.3,3287405
1/22/20,1070,1084,1055.38,1075.51,3620004
1/23/20,1076,1076,1037,1052.8,5346843
2/3/20,985,1010.68,980,1003.92,12344288
2/4/20,1015,1057,1011.01,1038.01,6262418
2/5/20,1050,1054,1033.03,1049.99,4741824
2/6/20,1059.43,1075,1052.02,1071,4717121
2/7/20,1070.01,1077,1061.02,1076,3127871
2/10/20,1062,1074.6,1057.2,1066.49,3053342
2/11/20,1063,1099.68,1062.8,1098,4791793
2/12/20,1089,1098.79,1085.88,1097.27,2812543
2/13/20,1098,1113.89,1088.01,1091,3035736
2/14/20,1090.45,1093.51,1083.11,1088,2328760
2/17/20,1082.5,1096.19,1082.4,1093.82,2702822
2/18/20,1090.01,1096.88,1083,1084,2666496
2/19/20,1085,1101.5,1078,1096.5,3705147
2/20/20,1096.7,1124,1095.41,1118,4680262
2/21/20,1111.46,1123.54,1110.01,1112.88,2894008
2/24/20,1105.5,1110,1085.5,1087.18,3865036
2/25/20,1078,1082.09,1067.88,1074.81,3838562
2/26/20,1062,1084,1055,1073.7,4356097
2/27/20,1076,1094.99,1076,1087.39,3449829
2/28/20,1070.3,1082,1049.97,1057,4994657
3/2/20,1050.11,1096.55,1050.01,1086.01,4766304
3/3/20,1098,1118.88,1098,1113,5025015
3/4/20,1125,1139,1116.24,1128.92,5379299
3/5/20,1136.31,1174.99,1130.56,1171,6242645
3/6/20,1163,1176,1151.98,1155.5,3064100
3/9/20,1135,1135,1111.31,1114.01,4340409
3/10/20,1113,1168,1113,1156,5806293
3/11/20,1155.5,1169.58,1141,1158.52,3554757
3/12/20,1141.22,1153,1125.1,1138.5,3663063
3/13/20,1090,1128.98,1080,1112.03,7588531
3/16/20,1103.98,1107.95,1062,1067,5123254
3/17/20,1055,1078,1011.12,1045.1,7935912
3/18/20,1040,1060,1007.99,1007.99,7345988
3/19/20,993.99,1015,960.1,996,10226507
3/20/20,1011,1043,1011,1035.28,6013919
3/23/20,1000,1035.28,991.52,1019,4847210
3/24/20,1043,1058.88,1035,1056,4665096
3/25/20,1087.98,1091.36,1074.2,1080.1,3704866
3/26/20,1073.33,1091.2,1062,1064.92,3004856
3/27/20,1085,1092,1075.01,1075.5,3626112
3/30/20,1060.25,1077,1057,1072,3068741
3/31/20,1082,1115,1081.8,1111,4798437
4/1/20,1117,1129,1103,1103,3320535
4/2/20,1104,1145,1103.88,1145,4520561
4/3/20,1139.03,1147.96,1131.98,1139.79,2761761
4/7/20,1161.95,1166.5,1148.89,1159.95,4348800
4/8/20,1152,1166.31,1152,1159.76,2422442
4/9/20,1166,1169,1147.96,1158.5,2281697
4/10/20,1157.88,1181.5,1153.5,1165,2780434
4/13/20,1165,1169.98,1148.5,1162.3,1598147
4/14/20,1176,1191.55,1166,1185.1,3679955
4/15/20,1192,1203.99,1187.1,1189.6,2933229
4/16/20,1192.97,1197.1,1184.1,1197.1,2172774
4/17/20,1210,1234.56,1205.01,1226,3824569
4/20/20,1221,1231.5,1216.8,1227.3,2423864
4/21/20,1221.02,1223.99,1193,1200,2922422
4/22/20,1206,1249.5,1202.22,1244.5,4403473
4/23/20,1250,1265.68,1247.77,1252.26,2689851
4/24/20,1248,1259.89,1235.18,1250.56,1912240
4/27/20,1257,1278.17,1250.96,1276,2590391
4/28/20,1285.31,1299.94,1271.88,1279.13,3466190
4/29/20,1277.8,1288.1,1258,1274.9,2344406
4/30/20,1271,1285.01,1258.88,1265.7,2466087
5/6/20,1251,1300,1250,1300,3583481
5/7/20,1299.4,1314.99,1293,1312,2793474
5/8/20,1317,1338,1308.51,1314.61,2907868
5/11/20,1320,1335,1313.67,1323.01,2367119
5/12/20,1318,1334.99,1316,1333,1972181
5/13/20,1333,1337.99,1322.88,1335.95,2201431
5/14/20,1330,1334.88,1325.11,1326.59,1857492
5/15/20,1329,1333.5,1301.88,1313,2639808
5/18/20,1306,1351.5,1305.13,1346.21,3436211
5/19/20,1364,1364,1338,1346.11,2478746
5/20/20,1346.11,1359.18,1336.81,1351,2118340
5/21/20,1355,1371.96,1352.86,1366.1,2305158
5/22/20,1366,1366.1,1322.88,1328.2,3442746
5/25/20,1330,1366.58,1321,1362.9,3156100
5/26/20,1369.88,1369.95,1355,1358,2247019
5/27/20,1359,1360,1333,1338,2677741
5/28/20,1337.97,1346.94,1321.13,1344,2648591
5/29/20,1332.1,1369.98,1332.1,1366.6,3044435
6/1/20,1381,1420.1,1381,1419.5,3547976
6/2/20,1416.01,1427.9,1406.66,1410.71,2596010
6/3/20,1415,1417.5,1395.77,1399.3,2355736
6/4/20,1396,1411,1396,1407.99,1803741
6/5/20,1405.25,1428.88,1401.08,1425,1834706
6/8/20,1425,1435,1402.01,1406.1,2930045
6/9/20,1408,1425,1400.68,1416.55,2261191
6/10/20,1425,1433.33,1417,1423.66,2270074
6/11/20,1411.01,1417.99,1396.99,1400.46,3071171
6/12/20,1387.17,1416.37,1383.31,1416.37,2842742
6/15/20,1402,1411.6,1381,1383,3461541
6/16/20,1398.5,1414,1393.13,1403.88,2920664
6/17/20,1411.86,1411.9,1395.02,1405,1945307
6/18/20,1404.9,1413.2,1400.1,1413,2101041
6/19/20,1420,1445.2,1415.1,1439.84,3895833
6/22/20,1435.1,1443.89,1433.2,1439,2324700
6/23/20,1435,1482,1433.52,1474.5,3393426
6/24/20,1463.6,1465.71,1445,1460.01,2513899
6/29/20,1448,1466,1437.01,1463.17,2808061
6/30/20,1463.12,1468.98,1455.12,1462.88,2244614
7/1/20,1468,1506.1,1464.02,1494.27,3868249
7/2/20,1499,1550.9,1495,1544,4588372
7/3/20,1550,1552.5,1516.88,1541.79,3512581
7/6/20,1538,1616,1531.81,1600,5182196
7/7/20,1603.09,1744.82,1601,1688,6666393
7/8/20,1680,1719,1660,1681.34,5316998
7/9/20,1691,1712,1682,1706,3503324
7/10/20,1689,1736.6,1688.94,1713.85,3710044
7/13/20,1714.68,1787,1714.68,1781.99,6072716
7/14/20,1781.99,1782.03,1748.4,1762,4609351
7/15/20,1744.88,1782.6,1744.71,1752.53,4071294
7/16/20,1729.91,1729.91,1600,1614,10224219
7/17/20,1620,1672.59,1620,1648.05,6590206
7/20/20,1652.5,1663.99,1588.88,1636.96,4528033
7/21/20,1646.64,1702.8,1630.99,1668,4196950
7/22/20,1658,1710,1658,1678.08,3920121
7/23/20,1672,1691,1650,1676,3432052
7/24/20,1654.85,1666,1585,1595.3,7875201
7/27/20,1616.01,1629.8,1600,1622.55,3878817
